id,matter_mg,anti_mg,confinement_pct,efficiency_pct,reactivity_pct,field_gradient_pct,speed_pct,total_energy_j,avg_power_w,stability_index,pair_events,threshold_events,gamma_gamma_share_pct,gamma_meson_share_pct,meson_share_pct
34,300,300,35,88,12,35,30,1.823583e+13,3.131152e+12,7.332345e-01,8.575935e+24,3.481954e+25,5.707334e+01,3.945165e+01,3.475005e+00
35,300,300,35,88,12,55,30,1.766289e+13,3.032777e+12,6.608757e-01,8.177197e+24,3.637781e+25,5.315044e+01,4.335112e+01,3.498434e+00
36,300,300,35,88,12,75,30,1.706875e+13,2.930761e+12,5.887136e-01,7.732799e+24,3.775355e+25,4.917188e+01,4.730588e+01,3.522244e+00
37,300,300,35,88,25,15,30,2.415802e+13,4.148012e+12,7.964140e-01,1.143064e+25,4.271222e+25,6.076840e+01,3.577479e+01,3.456807e+00
38,300,300,35,88,25,35,30,2.364519e+13,4.059957e+12,7.325901e-01,1.112884e+25,4.510511e+25,5.712046e+01,3.940583e+01,3.473718e+00
39,300,300,35,88,25,55,30,2.303407e+13,3.955025e+12,6.600314e-01,1.066843e+25,4.742040e+25,5.317254e+01,4.332962e+01,3.497844e+00
40,300,300,35,88,25,75,30,2.241353e+13,3.848477e+12,5.899692e-01,1.017052e+25,4.950743e+25,4.925037e+01,4.722944e+01,3.520196e+00
41,300,300,35,88,45,15,30,2.942622e+13,5.052580e+12,7.976861e-01,1.394294e+25,5.192969e+25,6.085354e+01,3.569204e+01,3.454423e+00
42,300,300,35,88,45,35,30,2.893059e+13,4.967477e+12,7.325622e-01,1.363124e+25,5.511993e+25,5.718080e+01,3.934713e+01,3.472068e+00
43,300,300,35,88,45,55,30,2.835484e+13,4.868619e+12,6.611530e-01,1.315736e+25,5.826867e+25,5.326893e+01,4.323580e+01,3.495271e+00
44,300,300,35,88,45,75,30,2.773202e+13,4.761679e+12,5.885908e-01,1.258991e+25,6.123143e+25,4.927237e+01,4.720800e+01,3.519622e+00
45,300,300,35,88,70,15,30,3.338904e+13,5.733007e+12,7.963077e-01,1.582929e+25,5.888150e+25,6.088569e+01,3.566079e+01,3.453522e+00
46,300,300,35,88,70,35,30,3.295440e+13,5.658380e+12,7.320839e-01,1.554452e+25,6.270874e+25,5.724167e+01,3.928792e+01,3.470404e+00
47,300,300,35,88,70,55,30,3.243683e+13,5.569511e+12,6.604527e-01,1.506754e+25,6.658878e+25,5.332342e+01,4.318277e+01,3.493817e+00
